Selling_Price,Original_Price,Rating
49896,99985.0,3.8
10888,23100.0,3.7
65500,167994.0,3.7
516700,1500000.0,4.1
42000,50000.0,4.2
28000,33750.0,3.6
477800,700000.0,3.9
51000,66000.0,3.9
50000,0.0,4.3
31900,46200.0,3.7
12500,18000.0,4.4
45999,110000.0,3.7
26810,,4.1
3500,4200.0,4.5
14000,0.0,3.6
100600,150000.0,3.5
11200,38400.0,4.4
448500,878431.0,4.1
11836,40079.0,3.6
73000,150000.0,3.3
22500,25200.0,4.6
460700,800000.0,3.5
414500,600000.0,4.3
28755,44459.0,3.2
615400,1100000.0,4.1
16000,49993.0,4.0
23600,28300.0,4.4
23100,60099.0,3.5
30800,57750.0,3.4
245000,380000.0,3.9
599000,1320017.0,3.8
135000,250000.0,2.0
213000,300000.0,3.8
16700,18000.0,4.1
41000,60000.0,3.8
13800,41400.0,4.6
70000,150000.0,3.7
18000,49990.0,3.8
24000,29900.0,4.1
46500,80000.0,3.4
